id,Sleep Duration,Dietary Habits,Financial Stress,Family History of Mental Illness
15499,'Less than 5 hours',Unhealthy,5.0,No
15501,'7-8 hours',Healthy,5.0,Yes
15503,'More than 8 hours',Unhealthy,3.0,No
15508,'Less than 5 hours',Unhealthy,5.0,No
15511,'Less than 5 hours',Unhealthy,5.0,Yes
15520,'Less than 5 hours',Unhealthy,5.0,Yes
15524,'Less than 5 hours',Unhealthy,2.0,Yes
15528,'Less than 5 hours',Unhealthy,1.0,Yes
15529,'7-8 hours',Healthy,4.0,No
15533,'5-6 hours',Moderate,4.0,Yes
15534,'7-8 hours',Healthy,1.0,Yes
15536,'5-6 hours',Unhealthy,4.0,No
15541,'Less than 5 hours',Moderate,3.0,Yes
15542,'5-6 hours',Moderate,5.0,No
15544,'7-8 hours',Moderate,5.0,No
15550,'Less than 5 hours',Healthy,1.0,No
15552,'More than 8 hours',Healthy,2.0,No
15561,'5-6 hours',Moderate,1.0,Yes
15564,'7-8 hours',Healthy,5.0,No
15584,'Less than 5 hours',Moderate,2.0,No
15590,'7-8 hours',Healthy,3.0,No
15599,'Less than 5 hours',Unhealthy,3.0,Yes
15602,'7-8 hours',Unhealthy,2.0,No
15608,'Less than 5 hours',Healthy,4.0,Yes
15615,'Less than 5 hours',Moderate,2.0,Yes
15621,'7-8 hours',Moderate,4.0,Yes
15625,'Less than 5 hours',Healthy,1.0,Yes
15630,'7-8 hours',Moderate,4.0,Yes
15632,'5-6 hours',Unhealthy,2.0,Yes
15634,'7-8 hours',Moderate,3.0,No
15637,'Less than 5 hours',Unhealthy,4.0,No
15646,'More than 8 hours',Moderate,5.0,No
15649,'Less than 5 hours',Healthy,5.0,Yes
15651,'Less than 5 hours',Unhealthy,2.0,No
15662,'Less than 5 hours',Healthy,1.0,No
15666,'7-8 hours',Unhealthy,2.0,No
15669,'Less than 5 hours',Healthy,5.0,Yes
15671,'5-6 hours',Moderate,5.0,Yes
15672,'More than 8 hours',Healthy,1.0,Yes
15673,'7-8 hours',Unhealthy,2.0,No
15683,'More than 8 hours',Healthy,4.0,No
15695,'5-6 hours',Moderate,1.0,No
15696,'7-8 hours',Unhealthy,5.0,Yes
15697,'More than 8 hours',Unhealthy,2.0,Yes
15703,'7-8 hours',Moderate,5.0,Yes
15704,'5-6 hours',Moderate,2.0,Yes
15708,'7-8 hours',Unhealthy,2.0,No
15710,'More than 8 hours',Unhealthy,3.0,Yes
15711,'7-8 hours',Unhealthy,5.0,Yes
15713,'More than 8 hours',Unhealthy,1.0,No
15720,'5-6 hours',Healthy,2.0,No
15722,'More than 8 hours',Unhealthy,5.0,No
15726,'7-8 hours',Unhealthy,4.0,No
15735,'7-8 hours',Moderate,5.0,No
15741,'5-6 hours',Healthy,2.0,No
15742,'More than 8 hours',Healthy,2.0,Yes
15749,'More than 8 hours',Healthy,4.0,Yes
15755,'7-8 hours',Unhealthy,4.0,No
15761,'7-8 hours',Moderate,2.0,No
15766,'Less than 5 hours',Unhealthy,1.0,Yes
15769,'More than 8 hours',Moderate,2.0,No
15777,'More than 8 hours',Unhealthy,4.0,Yes
15787,'5-6 hours',Healthy,4.0,Yes
15788,'7-8 hours',Moderate,3.0,Yes
15789,'More than 8 hours',Moderate,5.0,Yes
15795,'Less than 5 hours',Unhealthy,5.0,Yes
15797,'Less than 5 hours',Unhealthy,5.0,Yes
15799,'7-8 hours',Moderate,1.0,No
15800,'More than 8 hours',Unhealthy,5.0,Yes
15808,'Less than 5 hours',Unhealthy,3.0,No
15809,'More than 8 hours',Moderate,1.0,No
15810,'7-8 hours',Moderate,5.0,Yes
15815,'7-8 hours',Unhealthy,5.0,Yes
15819,'Less than 5 hours',Unhealthy,3.0,Yes
15822,'Less than 5 hours',Unhealthy,3.0,Yes
15823,'7-8 hours',Unhealthy,3.0,No
15829,'7-8 hours',Moderate,4.0,No
15833,'More than 8 hours',Moderate,1.0,Yes
15850,'5-6 hours',Healthy,5.0,Yes
15856,'Less than 5 hours',Unhealthy,4.0,Yes
15860,'More than 8 hours',Moderate,1.0,No
15864,'5-6 hours',Unhealthy,2.0,No
15874,'7-8 hours',Unhealthy,5.0,No
15879,'Less than 5 hours',Unhealthy,1.0,No
15882,'7-8 hours',Unhealthy,5.0,No
15884,'More than 8 hours',Unhealthy,3.0,No
15886,'Less than 5 hours',Healthy,1.0,Yes
15890,'7-8 hours',Unhealthy,1.0,Yes
15895,'More than 8 hours',Moderate,5.0,Yes
15901,'Less than 5 hours',Moderate,5.0,Yes
15904,'More than 8 hours',Unhealthy,2.0,Yes
15909,'7-8 hours',Healthy,5.0,No
15920,'7-8 hours',Unhealthy,5.0,No
15924,'Less than 5 hours',Moderate,4.0,Yes
15926,'7-8 hours',Moderate,1.0,No
15928,'5-6 hours',Unhealthy,5.0,No
15929,'More than 8 hours',Unhealthy,3.0,No
15932,'7-8 hours',Unhealthy,4.0,No
15936,'Less than 5 hours',Unhealthy,4.0,Yes
15939,'5-6 hours',Moderate,1.0,Yes
15942,'Less than 5 hours',Unhealthy,5.0,Yes
15945,'7-8 hours',Moderate,5.0,Yes
15947,'Less than 5 hours',Moderate,5.0,No
15949,'More than 8 hours',Unhealthy,2.0,No
15950,'Less than 5 hours',Moderate,3.0,No
15951,'Less than 5 hours',Moderate,5.0,No
15952,'More than 8 hours',Moderate,5.0,No
15959,'5-6 hours',Unhealthy,5.0,Yes
15964,'5-6 hours',Healthy,1.0,No
15965,'Less than 5 hours',Unhealthy,3.0,No
15967,'More than 8 hours',Moderate,3.0,No
15979,'5-6 hours',Unhealthy,1.0,Yes
15980,'More than 8 hours',Moderate,1.0,No
15985,'Less than 5 hours',Unhealthy,5.0,Yes
15988,'Less than 5 hours',Healthy,1.0,No
15989,'5-6 hours',Unhealthy,4.0,No
15991,'Less than 5 hours',Healthy,2.0,Yes
15994,'7-8 hours',Healthy,4.0,No
15998,'5-6 hours',Moderate,2.0,No
16000,'5-6 hours',Moderate,4.0,No
16007,'More than 8 hours',Healthy,1.0,Yes
16016,'Less than 5 hours',Moderate,5.0,Yes
16019,'7-8 hours',Moderate,5.0,Yes
16021,'5-6 hours',Moderate,2.0,No
16037,'7-8 hours',Healthy,4.0,Yes
16039,'Less than 5 hours',Healthy,4.0,Yes
16049,'5-6 hours',Unhealthy,5.0,No
16054,'7-8 hours',Unhealthy,2.0,Yes
16056,'7-8 hours',Moderate,3.0,No
16059,'Less than 5 hours',Healthy,1.0,No
16062,'7-8 hours',Moderate,1.0,No
16067,'7-8 hours',Unhealthy,5.0,No
16071,'7-8 hours',Healthy,5.0,No
16078,'5-6 hours',Moderate,1.0,No
16081,'7-8 hours',Moderate,2.0,Yes
16087,'5-6 hours',Unhealthy,5.0,No
16091,'5-6 hours',Unhealthy,2.0,No
16098,'5-6 hours',Moderate,3.0,Yes
16099,'7-8 hours',Healthy,1.0,No
16102,'Less than 5 hours',Unhealthy,5.0,No
16104,'More than 8 hours',Moderate,4.0,Yes
16107,'More than 8 hours',Moderate,2.0,Yes
16109,'Less than 5 hours',Unhealthy,4.0,No
16112,'Less than 5 hours',Moderate,1.0,Yes
16115,'Less than 5 hours',Moderate,4.0,No
16124,'More than 8 hours',Moderate,3.0,No
16136,'5-6 hours',Moderate,2.0,Yes
16138,'5-6 hours',Healthy,2.0,No
16142,'7-8 hours',Healthy,3.0,Yes
16148,'Less than 5 hours',Moderate,5.0,No
16150,'7-8 hours',Healthy,4.0,Yes
16152,'Less than 5 hours',Moderate,4.0,Yes
16157,'5-6 hours',Healthy,1.0,No
16159,'More than 8 hours',Healthy,5.0,No
16161,'7-8 hours',Unhealthy,3.0,No
16162,'7-8 hours',Moderate,4.0,Yes
16168,'5-6 hours',Healthy,4.0,No
16171,'More than 8 hours',Moderate,1.0,Yes
16173,'More than 8 hours',Unhealthy,3.0,Yes
16175,'More than 8 hours',Healthy,2.0,Yes
16187,'More than 8 hours',Moderate,4.0,No
16193,'More than 8 hours',Moderate,1.0,No
16196,'More than 8 hours',Moderate,5.0,Yes
16197,'5-6 hours',Unhealthy,5.0,Yes
16198,'5-6 hours',Unhealthy,5.0,Yes
16202,'More than 8 hours',Healthy,5.0,Yes
16203,'Less than 5 hours',Unhealthy,5.0,No
16208,'Less than 5 hours',Moderate,5.0,No
16211,'Less than 5 hours',Unhealthy,4.0,Yes
16215,'5-6 hours',Healthy,5.0,No
16218,'7-8 hours',Healthy,5.0,Yes
16221,'More than 8 hours',Moderate,3.0,Yes
16223,'More than 8 hours',Moderate,2.0,Yes
16226,'5-6 hours',Unhealthy,4.0,No
16230,'Less than 5 hours',Unhealthy,2.0,No
16232,'5-6 hours',Healthy,2.0,Yes
16234,'5-6 hours',Moderate,5.0,Yes
16236,'More than 8 hours',Moderate,1.0,Yes
16241,'5-6 hours',Healthy,3.0,No
16242,'More than 8 hours',Unhealthy,5.0,Yes
16243,'More than 8 hours',Healthy,3.0,No
16249,'Less than 5 hours',Moderate,4.0,No
16260,'Less than 5 hours',Moderate,4.0,No
16268,'7-8 hours',Unhealthy,2.0,Yes
16273,'7-8 hours',Moderate,4.0,No
16278,'7-8 hours',Unhealthy,1.0,Yes
16279,'5-6 hours',Healthy,2.0,No
16281,'Less than 5 hours',Healthy,3.0,Yes
16289,'7-8 hours',Healthy,4.0,Yes
16294,'Less than 5 hours',Unhealthy,5.0,No
16297,'7-8 hours',Moderate,4.0,No
16299,'Less than 5 hours',Unhealthy,4.0,No
16303,'Less than 5 hours',Moderate,5.0,No
16312,'7-8 hours',Moderate,2.0,Yes
16320,'7-8 hours',Unhealthy,1.0,Yes
16321,'More than 8 hours',Moderate,3.0,No
16330,'More than 8 hours',Moderate,5.0,No
16331,'More than 8 hours',Moderate,3.0,Yes
16336,'Less than 5 hours',Healthy,5.0,No
16337,'More than 8 hours',Healthy,4.0,No
16339,'More than 8 hours',Moderate,1.0,Yes
16352,'More than 8 hours',Moderate,3.0,Yes
16362,'Less than 5 hours',Unhealthy,5.0,Yes
16363,'5-6 hours',Unhealthy,5.0,No
16367,'More than 8 hours',Healthy,1.0,No
16374,'Less than 5 hours',Unhealthy,2.0,Yes
16383,'Less than 5 hours',Healthy,5.0,Yes
16387,'Less than 5 hours',Moderate,5.0,Yes
16398,'Less than 5 hours',Unhealthy,2.0,Yes
16400,'7-8 hours',Healthy,3.0,No
16401,'7-8 hours',Moderate,2.0,Yes
16404,'5-6 hours',Moderate,5.0,No
16406,'More than 8 hours',Unhealthy,1.0,No
16408,'More than 8 hours',Moderate,3.0,No
16414,'7-8 hours',Moderate,3.0,No
16416,'7-8 hours',Healthy,2.0,No
16419,'7-8 hours',Unhealthy,4.0,Yes
16422,'Less than 5 hours',Moderate,5.0,Yes
16426,'More than 8 hours',Unhealthy,2.0,Yes
16434,'More than 8 hours',Moderate,4.0,No
16438,'5-6 hours',Moderate,1.0,No
16441,'5-6 hours',Healthy,4.0,No
16452,'5-6 hours',Moderate,2.0,No
16456,'7-8 hours',Unhealthy,5.0,Yes
16460,'7-8 hours',Unhealthy,2.0,Yes
16472,'5-6 hours',Unhealthy,4.0,Yes
16473,'7-8 hours',Healthy,1.0,Yes
16479,'5-6 hours',Healthy,3.0,No
16491,'7-8 hours',Moderate,5.0,No
16492,'7-8 hours',Moderate,4.0,Yes
16500,'5-6 hours',Moderate,2.0,Yes
16503,'5-6 hours',Moderate,4.0,Yes
16504,'7-8 hours',Unhealthy,5.0,No
16507,'More than 8 hours',Unhealthy,4.0,Yes
16510,'5-6 hours',Moderate,1.0,No
16513,'5-6 hours',Moderate,3.0,No
16517,'7-8 hours',Moderate,3.0,Yes
16528,'7-8 hours',Unhealthy,1.0,No
16531,'7-8 hours',Healthy,1.0,No
16533,'Less than 5 hours',Healthy,2.0,No
16538,'Less than 5 hours',Moderate,3.0,Yes
16546,'7-8 hours',Healthy,5.0,Yes
16548,'Less than 5 hours',Moderate,4.0,Yes
16560,'5-6 hours',Unhealthy,2.0,Yes
16571,'5-6 hours',Healthy,5.0,No
16580,'7-8 hours',Unhealthy,4.0,No
16588,'More than 8 hours',Moderate,4.0,Yes
16590,'More than 8 hours',Moderate,1.0,No
16591,'Less than 5 hours',Healthy,4.0,No
16594,'More than 8 hours',Moderate,4.0,No
16595,'7-8 hours',Healthy,4.0,No
16596,'More than 8 hours',Moderate,4.0,Yes
16608,'More than 8 hours',Healthy,4.0,Yes
16613,'7-8 hours',Moderate,4.0,No
16616,'Less than 5 hours',Unhealthy,4.0,Yes
16617,'More than 8 hours',Unhealthy,3.0,No
16618,'Less than 5 hours',Moderate,1.0,No
16619,'5-6 hours',Moderate,5.0,Yes
16624,'7-8 hours',Unhealthy,2.0,No
16626,'Less than 5 hours',Moderate,5.0,Yes
16628,'7-8 hours',Unhealthy,5.0,Yes
16634,'More than 8 hours',Healthy,1.0,Yes
16646,'7-8 hours',Healthy,5.0,Yes
16647,'7-8 hours',Healthy,4.0,Yes
16648,'Less than 5 hours',Moderate,1.0,No
16656,'5-6 hours',Moderate,4.0,Yes
16657,'7-8 hours',Unhealthy,5.0,Yes
16660,'More than 8 hours',Healthy,2.0,No
16671,'5-6 hours',Unhealthy,2.0,Yes
16674,'Less than 5 hours',Moderate,4.0,Yes
16677,'More than 8 hours',Unhealthy,5.0,No
16682,'More than 8 hours',Unhealthy,3.0,Yes
16687,'Less than 5 hours',Moderate,2.0,Yes
16689,'More than 8 hours',Moderate,2.0,No
16693,'7-8 hours',Unhealthy,1.0,Yes
16694,'7-8 hours',Unhealthy,4.0,Yes
16701,'Less than 5 hours',Healthy,1.0,Yes
16717,'5-6 hours',Healthy,4.0,No
16722,'More than 8 hours',Healthy,4.0,Yes
16725,'Less than 5 hours',Unhealthy,5.0,Yes
16727,'Less than 5 hours',Unhealthy,2.0,No
16730,'7-8 hours',Healthy,5.0,Yes
16732,'More than 8 hours',Unhealthy,5.0,No
16737,'Less than 5 hours',Healthy,1.0,Yes
16752,'5-6 hours',Unhealthy,4.0,No
16754,'5-6 hours',Unhealthy,3.0,Yes
16763,'7-8 hours',Unhealthy,2.0,No
16768,'7-8 hours',Moderate,3.0,No
16770,'Less than 5 hours',Moderate,4.0,Yes
16776,'Less than 5 hours',Moderate,4.0,No
16783,'5-6 hours',Unhealthy,5.0,No
16785,'More than 8 hours',Unhealthy,5.0,Yes
16792,'Less than 5 hours',Unhealthy,1.0,Yes
16797,'5-6 hours',Healthy,3.0,Yes
16801,'5-6 hours',Healthy,3.0,No
16802,'5-6 hours',Moderate,3.0,No
16807,'5-6 hours',Unhealthy,4.0,No
16809,'5-6 hours',Moderate,4.0,Yes
16811,'Less than 5 hours',Moderate,2.0,Yes
16814,'Less than 5 hours',Unhealthy,5.0,Yes
16816,'7-8 hours',Moderate,3.0,No
16818,'5-6 hours',Moderate,3.0,No
16825,'5-6 hours',Healthy,3.0,Yes
16827,'Less than 5 hours',Unhealthy,5.0,Yes
16828,'7-8 hours',Healthy,3.0,No
16835,'Less than 5 hours',Unhealthy,5.0,Yes
16842,'Less than 5 hours',Unhealthy,4.0,No
16859,'Less than 5 hours',Unhealthy,2.0,Yes
16860,'Less than 5 hours',Moderate,3.0,No
16862,'Less than 5 hours',Moderate,5.0,No
16865,'Less than 5 hours',Moderate,1.0,No
16871,'5-6 hours',Moderate,4.0,No
16873,'7-8 hours',Healthy,3.0,No
16878,'Less than 5 hours',Unhealthy,4.0,No
16882,'More than 8 hours',Unhealthy,3.0,No
16888,'7-8 hours',Unhealthy,5.0,Yes
16890,'Less than 5 hours',Unhealthy,2.0,No
16893,'5-6 hours',Healthy,2.0,Yes
16895,'Less than 5 hours',Unhealthy,4.0,Yes
16900,'7-8 hours',Unhealthy,3.0,Yes
16901,'More than 8 hours',Healthy,1.0,Yes
16918,'More than 8 hours',Healthy,1.0,Yes
16922,'5-6 hours',Unhealthy,3.0,Yes
16925,'7-8 hours',Moderate,2.0,No
16936,'More than 8 hours',Unhealthy,1.0,No
16938,'More than 8 hours',Healthy,1.0,No
16940,'More than 8 hours',Unhealthy,1.0,Yes
16944,'More than 8 hours',Unhealthy,3.0,No
16950,'5-6 hours',Moderate,3.0,No
16956,'5-6 hours',Healthy,5.0,No
16959,'More than 8 hours',Unhealthy,5.0,Yes
16963,'Less than 5 hours',Healthy,5.0,No
16984,'Less than 5 hours',Moderate,1.0,Yes
16990,'5-6 hours',Moderate,4.0,Yes
16991,'7-8 hours',Moderate,3.0,Yes
16994,'More than 8 hours',Unhealthy,5.0,Yes
17002,'7-8 hours',Unhealthy,1.0,No
17005,'5-6 hours',Moderate,4.0,Yes
17006,'7-8 hours',Unhealthy,4.0,No
17009,'More than 8 hours',Healthy,1.0,Yes
17013,'More than 8 hours',Moderate,4.0,Yes
17023,'Less than 5 hours',Unhealthy,5.0,No
17025,'More than 8 hours',Unhealthy,2.0,Yes
17028,'More than 8 hours',Unhealthy,4.0,No
17031,'Less than 5 hours',Unhealthy,1.0,Yes
17039,'Less than 5 hours',Moderate,4.0,Yes
17047,'More than 8 hours',Moderate,5.0,No
17055,'More than 8 hours',Healthy,5.0,Yes
17071,'Less than 5 hours',Healthy,4.0,No
17072,'Less than 5 hours',Unhealthy,5.0,No
17077,'Less than 5 hours',Unhealthy,4.0,No
17080,'Less than 5 hours',Unhealthy,5.0,Yes
17082,'7-8 hours',Healthy,2.0,No
17085,'More than 8 hours',Unhealthy,2.0,No
17086,'5-6 hours',Moderate,3.0,Yes
17089,'More than 8 hours',Healthy,3.0,No
17093,'Less than 5 hours',Healthy,1.0,Yes
17095,'Less than 5 hours',Unhealthy,3.0,No
17105,'Less than 5 hours',Moderate,3.0,No
17109,'5-6 hours',Unhealthy,3.0,Yes
17111,'7-8 hours',Unhealthy,5.0,Yes
17116,'Less than 5 hours',Moderate,1.0,Yes
17132,'5-6 hours',Healthy,2.0,Yes
17135,'7-8 hours',Unhealthy,4.0,No
17137,'More than 8 hours',Healthy,4.0,Yes
17138,'More than 8 hours',Moderate,5.0,Yes
17143,'5-6 hours',Unhealthy,2.0,No
17148,'5-6 hours',Moderate,5.0,Yes
17150,'7-8 hours',Healthy,5.0,No
17152,'Less than 5 hours',Moderate,2.0,Yes
17160,'7-8 hours',Moderate,5.0,No
17165,'7-8 hours',Moderate,5.0,Yes
17167,'More than 8 hours',Unhealthy,1.0,Yes
17177,'5-6 hours',Unhealthy,3.0,No
17192,'7-8 hours',Moderate,5.0,Yes
17193,'More than 8 hours',Moderate,1.0,Yes
17204,'Less than 5 hours',Unhealthy,5.0,Yes
17210,'More than 8 hours',Moderate,3.0,No
17213,'5-6 hours',Moderate,1.0,Yes
17218,'7-8 hours',Unhealthy,5.0,Yes
17227,'Less than 5 hours',Unhealthy,5.0,No
17233,'More than 8 hours',Unhealthy,2.0,Yes
17237,'5-6 hours',Unhealthy,4.0,Yes
17239,'More than 8 hours',Moderate,5.0,No
17242,'7-8 hours',Moderate,5.0,No
17243,'Less than 5 hours',Unhealthy,4.0,No
17250,'Less than 5 hours',Unhealthy,1.0,Yes
17257,'Less than 5 hours',Unhealthy,5.0,Yes
17258,'More than 8 hours',Unhealthy,5.0,No
17268,'Less than 5 hours',Unhealthy,4.0,No
17269,'5-6 hours',Healthy,2.0,No
17279,'5-6 hours',Unhealthy,4.0,Yes
17283,'More than 8 hours',Unhealthy,4.0,Yes
17287,'7-8 hours',Healthy,5.0,No
17291,'More than 8 hours',Moderate,4.0,No
17301,'5-6 hours',Unhealthy,2.0,Yes
17304,'5-6 hours',Moderate,1.0,No
17310,'Less than 5 hours',Moderate,1.0,Yes
17313,'Less than 5 hours',Unhealthy,5.0,Yes
17314,'7-8 hours',Healthy,1.0,Yes
17321,'7-8 hours',Moderate,2.0,No
17322,'More than 8 hours',Healthy,3.0,No
17324,'7-8 hours',Unhealthy,5.0,Yes
17325,'More than 8 hours',Healthy,4.0,No
17326,'7-8 hours',Healthy,5.0,No
17327,'7-8 hours',Healthy,2.0,Yes
17330,'Less than 5 hours',Moderate,4.0,No
17340,'7-8 hours',Healthy,2.0,Yes
17345,'More than 8 hours',Healthy,1.0,No
17348,'7-8 hours',Moderate,4.0,Yes
17351,'7-8 hours',Moderate,4.0,Yes
17366,'Less than 5 hours',Unhealthy,5.0,Yes
17383,'7-8 hours',Moderate,2.0,Yes
17384,'More than 8 hours',Moderate,5.0,No
17385,'5-6 hours',Moderate,5.0,Yes
17387,'7-8 hours',Healthy,1.0,Yes
17394,'More than 8 hours',Moderate,1.0,Yes
17395,'7-8 hours',Unhealthy,5.0,No
17400,'Less than 5 hours',Moderate,5.0,Yes
17402,'More than 8 hours',Healthy,2.0,Yes
17404,'Less than 5 hours',Healthy,4.0,No
17407,'Less than 5 hours',Unhealthy,2.0,Yes
17411,'7-8 hours',Unhealthy,2.0,Yes
17419,'Less than 5 hours',Unhealthy,3.0,Yes
17427,'Less than 5 hours',Healthy,1.0,Yes
17437,'More than 8 hours',Moderate,3.0,Yes
17441,'7-8 hours',Moderate,3.0,Yes
17443,'More than 8 hours',Healthy,5.0,Yes
17444,'7-8 hours',Healthy,1.0,No
17450,'7-8 hours',Moderate,1.0,No
17452,'Less than 5 hours',Moderate,4.0,Yes
17456,'More than 8 hours',Unhealthy,5.0,No
17462,'5-6 hours',Unhealthy,4.0,Yes
17463,'7-8 hours',Unhealthy,1.0,Yes
17468,'5-6 hours',Moderate,2.0,Yes
17474,'5-6 hours',Moderate,4.0,No
17483,'7-8 hours',Unhealthy,5.0,Yes
17499,'More than 8 hours',Moderate,5.0,Yes
17508,'More than 8 hours',Unhealthy,4.0,Yes
17521,'5-6 hours',Healthy,2.0,No
17530,'7-8 hours',Unhealthy,2.0,No
17543,'5-6 hours',Moderate,5.0,Yes
17545,'Less than 5 hours',Unhealthy,1.0,No
17549,'5-6 hours',Moderate,3.0,Yes
17554,'Less than 5 hours',Moderate,1.0,Yes
17555,'More than 8 hours',Moderate,3.0,Yes
17556,'More than 8 hours',Healthy,5.0,Yes
17564,'7-8 hours',Healthy,4.0,No
17573,'7-8 hours',Unhealthy,2.0,Yes
17585,'7-8 hours',Moderate,3.0,No
17586,'Less than 5 hours',Unhealthy,5.0,No
17592,'7-8 hours',Moderate,3.0,Yes
17600,'Less than 5 hours',Moderate,5.0,No
17615,'5-6 hours',Moderate,2.0,Yes
17620,'More than 8 hours',Moderate,1.0,No
17622,'7-8 hours',Unhealthy,3.0,Yes
17623,'Less than 5 hours',Healthy,3.0,No
17646,'Less than 5 hours',Moderate,5.0,Yes
17650,'5-6 hours',Healthy,1.0,Yes
17655,'7-8 hours',Moderate,2.0,Yes
17656,'7-8 hours',Unhealthy,4.0,No
17657,'7-8 hours',Unhealthy,4.0,Yes
17664,'7-8 hours',Unhealthy,1.0,No
17667,'Less than 5 hours',Moderate,2.0,No
17671,'7-8 hours',Unhealthy,4.0,No
17678,'Less than 5 hours',Healthy,1.0,No
17681,'7-8 hours',Healthy,2.0,No
17683,'More than 8 hours',Moderate,1.0,Yes
17691,'Less than 5 hours',Moderate,1.0,No
17694,'Less than 5 hours',Unhealthy,3.0,Yes
17695,'7-8 hours',Healthy,1.0,No
17699,'7-8 hours',Healthy,1.0,Yes
17717,'7-8 hours',Moderate,1.0,Yes
17724,'More than 8 hours',Moderate,4.0,Yes
17726,'7-8 hours',Unhealthy,2.0,No
17729,'More than 8 hours',Moderate,3.0,No
17739,'7-8 hours',Moderate,4.0,Yes
17742,'Less than 5 hours',Moderate,4.0,No
17747,'5-6 hours',Unhealthy,4.0,Yes
17765,'More than 8 hours',Moderate,4.0,No
17768,'Less than 5 hours',Healthy,1.0,No
17769,'More than 8 hours',Unhealthy,4.0,No
17773,'5-6 hours',Unhealthy,3.0,No
17778,'7-8 hours',Moderate,1.0,Yes
17779,'Less than 5 hours',Moderate,4.0,No
17786,'Less than 5 hours',Healthy,2.0,Yes
17794,'Less than 5 hours',Moderate,5.0,Yes
17796,'7-8 hours',Moderate,5.0,No
17798,'7-8 hours',Moderate,5.0,Yes
17807,'More than 8 hours',Healthy,3.0,Yes
17810,'Less than 5 hours',Healthy,5.0,Yes
17811,'Less than 5 hours',Moderate,2.0,Yes
17812,'More than 8 hours',Healthy,5.0,No
17815,'Less than 5 hours',Healthy,4.0,Yes
17831,'5-6 hours',Unhealthy,4.0,No
17837,'5-6 hours',Unhealthy,3.0,No
17840,'7-8 hours',Healthy,5.0,Yes
17842,'Less than 5 hours',Healthy,4.0,No
17875,'7-8 hours',Moderate,3.0,No
17876,'7-8 hours',Unhealthy,4.0,No
17877,'Less than 5 hours',Unhealthy,5.0,No
17881,'7-8 hours',Unhealthy,1.0,No
17884,'Less than 5 hours',Moderate,4.0,No
17890,'7-8 hours',Healthy,3.0,Yes
17893,'7-8 hours',Healthy,5.0,No
17910,'Less than 5 hours',Moderate,3.0,No
17913,'5-6 hours',Unhealthy,3.0,No
17916,'Less than 5 hours',Unhealthy,4.0,Yes
17921,'7-8 hours',Healthy,5.0,No
17925,'7-8 hours',Moderate,1.0,No
17934,'5-6 hours',Unhealthy,1.0,Yes
17936,'More than 8 hours',Healthy,5.0,No
17939,'Less than 5 hours',Unhealthy,5.0,Yes
17943,'5-6 hours',Unhealthy,1.0,Yes
17944,'5-6 hours',Healthy,2.0,Yes
17946,'More than 8 hours',Unhealthy,4.0,No
17950,'7-8 hours',Moderate,4.0,Yes
17952,'7-8 hours',Unhealthy,3.0,No
17954,'Less than 5 hours',Healthy,4.0,No
17956,'More than 8 hours',Unhealthy,3.0,Yes
17958,'5-6 hours',Healthy,3.0,Yes
17959,'More than 8 hours',Moderate,3.0,No
17967,'7-8 hours',Moderate,3.0,No
17968,'More than 8 hours',Moderate,4.0,No
17969,'5-6 hours',Healthy,3.0,Yes
17977,'Less than 5 hours',Moderate,2.0,Yes
17982,'7-8 hours',Moderate,3.0,No
17994,'7-8 hours',Healthy,1.0,No
17998,'More than 8 hours',Healthy,5.0,Yes
18012,'Less than 5 hours',Unhealthy,5.0,No
18014,'More than 8 hours',Unhealthy,3.0,No
18015,'Less than 5 hours',Unhealthy,4.0,No
18023,'Less than 5 hours',Healthy,4.0,Yes
18026,'5-6 hours',Unhealthy,3.0,No
18030,'Less than 5 hours',Healthy,3.0,Yes
18044,'Less than 5 hours',Healthy,1.0,Yes
18050,'Less than 5 hours',Unhealthy,4.0,No
18053,'Less than 5 hours',Unhealthy,5.0,No
18054,'5-6 hours',Moderate,4.0,Yes
18057,'Less than 5 hours',Healthy,2.0,No
18064,'Less than 5 hours',Unhealthy,4.0,Yes
18072,'Less than 5 hours',Healthy,3.0,No
18073,'5-6 hours',Healthy,3.0,No
18079,'5-6 hours',Healthy,5.0,Yes
18083,'7-8 hours',Moderate,3.0,No
18087,'Less than 5 hours',Moderate,3.0,No
18094,'7-8 hours',Unhealthy,1.0,Yes
18096,'7-8 hours',Unhealthy,5.0,No
18101,'Less than 5 hours',Healthy,3.0,Yes
18103,'7-8 hours',Moderate,1.0,Yes
18107,'Less than 5 hours',Unhealthy,1.0,No
18114,'7-8 hours',Moderate,5.0,Yes
18117,'7-8 hours',Moderate,2.0,Yes
18125,'5-6 hours',Unhealthy,3.0,Yes
18135,'5-6 hours',Healthy,2.0,Yes
18144,'Less than 5 hours',Unhealthy,4.0,Yes
18148,'5-6 hours',Unhealthy,3.0,Yes
18151,'7-8 hours',Moderate,3.0,Yes
18158,'5-6 hours',Moderate,3.0,Yes
18160,'5-6 hours',Healthy,5.0,No
18167,'7-8 hours',Unhealthy,2.0,No
18168,'More than 8 hours',Unhealthy,4.0,No
18176,'7-8 hours',Moderate,5.0,No
18177,'Less than 5 hours',Unhealthy,5.0,No
18179,'Less than 5 hours',Unhealthy,1.0,Yes
18204,'More than 8 hours',Unhealthy,4.0,No
18213,'Less than 5 hours',Unhealthy,2.0,Yes
18216,'7-8 hours',Unhealthy,5.0,No
